pr_number;created_at;merged_at;time_to_merge_hours;changed_files;lines_changed;total_comments;total_reviews;pr_title;pr_body;has_changes_requested;main_module;cross_modules;labels_list;inferred_task_type;commit_messages
136166;2026-01-12T05:14:57Z;2026-01-23T18:59:31Z;277,74;3;110;14;2;Add test and doc for processing all the sub-directories in kubelet drop-in folder;What type of PR is this?/kind bugWhat this PR does / why we need it:Identified while reviewing: #136089 (comment) by @bart0shThis PR documents and adds tests to make sure that kubelet drop-in configuration directory processes .conf files in the top-level and sub-directories directory.The PR discussed using top level directory alone but we decided to keep the existing functionalityWhich issue(s) this PR is related to:Special notes for your reviewer:Updated function documentation in cmd/kubelet/app/server.goUpdated field comment in cmd/kubelet/app/options/options.goUpdated --config-dir flag help text to document this behaviorDoes this PR introduce a user-facing change?NONE  - [Other doc]: https://kubernetes.io/docs/reference/command-line-tools-reference/kubelet/;FALSE;cmd;cmd;kind/bug, area/kubelet, lgtm, sig/node, size/L, release-note-none, approved, cncf-cla: yes, ok-to-test, needs-priority;feature;Add test and doc for processing all the sub-directories in drop-in folder
136413;2026-01-22T01:53:19Z;2026-01-23T18:05:37Z;40,20;23;151;10;15;  kubelet: migrate kubelet_getters.go to contextual logging;Migrate GetNode and related getter functions to contextual logging.GetNode(ctx context.Context)getNodeAnyWay(ctx context.Context)getLastObservedNodeAddresses(ctx context.Context)getHostIPsAnyWay(ctx context.Context)Update all callers and test mocks.Follows #136186.NONE/kind cleanup/cc @bart0sh;FALSE;pkg;pkg;area/kubelet, kind/cleanup, lgtm, sig/node, size/L, release-note-none, approved, cncf-cla: yes, ok-to-test, needs-priority;other;kubelet: migrate kubelet_getters.go to contextual logging. Migrate GetNode and related functions to use contextual logging
133335;2025-07-31T10:37:36Z;2026-01-23T18:05:29Z;4231,46;6;85;18;7;pluginmanager: fix handling registration failures;What type of PR is this?/kind bugWhat this PR does / why we need it:Updated the pluginmanager to handle registration failures better by removing the plugin from the actual state of the world and deregistering when registration or notification fails. Added a new e2e test to verify that the kubelet plugin manager retries plugin registration when NotifyRegistrationStatus call fails.Which issue(s) this PR is related to:N/ASpecial notes for your reviewer:Does this PR introduce a user-facing change?The kubelet plugin manager now properly handles plugin registration failures by removing failed plugins from the actual state and retrying with exponential backoff (initial delay 500ms, doubling each failure up to ~2 minutes maximum) to protect against broken plugins causing denial of service while still allowing recovery from transient failures./sig node;FALSE;pkg;pkg, staging, test;kind/bug, area/test, area/kubelet, lgtm, sig/storage, sig/node, release-note, size/M, approved, cncf-cla: yes;bugfix;pluginmanager: fix handling registration failures  Updated the pluginmanager to handle registration failures better by removing the plugin from the actual state of the world and deregistering when registration or notification fails. Added a new e2e test to verify that the kubelet plugin manager retries plugin registration when NotifyRegistrationStatus call fails.
136443;2026-01-22T23:02:08Z;2026-01-23T13:27:39Z;14,43;1;24;15;3;Bump e2e test images to latest promoted versions;Looks like overtime, we updated versions but did not end up updating the test harness to new versions!! 💀Image updates:ipc-utils: 1.3 → 1.4kitten: 1.7 → 1.8nautilus: 1.7 → 1.8nginx: 1.14-4 → 1.15-4nginx (new): 1.15-4 → 1.27-0node-perf/npb-ep: 1.2 → 1.6.0node-perf/npb-is: 1.2 → 1.7.0nonewprivs: 1.3 → 1.4nonroot: 1.4 → 1.5resource-consumer: 1.13 → 1.14volume/nfs: 1.4 → 1.5volume/iscsi: 2.6 → 2.7What type of PR is this?/kind cleanupWhat this PR does / why we need it:Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, kind/cleanup, lgtm, size/S, release-note-none, approved, cncf-cla: yes, sig/testing, needs-priority, needs-triage;test;Bump e2e test images to latest promoted versions  Image updates: - ipc-utils: 1.3 → 1.4 - kitten: 1.7 → 1.8 - nautilus: 1.7 → 1.8 - nginx: 1.14-4 → 1.15-4 - nginx (new): 1.15-4 → 1.27-0 - node-perf/npb-ep: 1.2 → 1.6.0 - node-perf/npb-is: 1.2 → 1.7.0 - nonewprivs: 1.3 → 1.4 - nonroot: 1.4 → 1.5 - resource-consumer: 1.13 → 1.14 - volume/nfs: 1.4 → 1.6.0 - volume/iscsi: 2.6 → 2.7  Signed-off-by: Davanum Srinivas <davanum@gmail.com>
136089;2026-01-08T03:47:28Z;2026-01-23T13:27:31Z;369,67;3;144;7;25;Improve logging, doc and test for kubelet config-dir file extension;What type of PR is this?/kind cleanupWhat this PR does / why we need it:ProblemWhile using kubelet drop-in configuration files, we overlooked a critical requirement documented in the kubelet configuration guide:The suffix of a valid kubelet drop-in configuration file must be .conf. For instance: 99-kubelet-address.confWe created a drop-in file with a .yaml extension, and the configuration was silently ignored. Even with increased kubelet log verbosity, there was no indication that the file was being skipped, making this issue difficult to debug.ChangesThis PR improves the user experience when working with kubelet drop-in configurations:1. Enhanced LoggingAdded log statements at V(4) level to show which files are being skipped due to incorrect extensionsLogs include the filename and extension for better debuggingNo impact on default logging (only visible with increased verbosity)2. Improved DocumentationUpdated the --config-dir flag documentation to explicitly mention the .conf extension requirementAdded example: 99-kubelet-address.confClarified that only files with .conf extension will be loadedThis will update https://kubernetes.io/docs/reference/command-line-tools-reference/kubelet/3. Test CoverageAdded test case validating that .yaml files are ignoredAdded test case validating that malformed YAML in .conf files causes proper errorsTestingAll existing tests pass. New test cases verify:Files without .conf extension are ignored (addresses the reported issue)Invalid YAML syntax in .conf files fails with clear error messagesExisting merge behavior remains unchangedReferencesDocumentation: https://kubernetes.io/docs/tasks/administer-cluster/kubelet-config-file/Feature announcement: https://kubernetes.io/blog/2025/12/22/kubernetes-v1-35-kubelet-config-drop-in-directory-ga/Which issue(s) this PR is related to:Special notes for your reviewer:@haircommander We experienced this while testing memorySwap changes.cc: @BhargaviGudiDoes this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;cmd;cmd;priority/backlog, area/kubelet, kind/cleanup, lgtm, sig/node, size/L, release-note-none, approved, cncf-cla: yes, ok-to-test;refactor;Improve logging, doc and test for kubelet config-dir file extension
136344;2026-01-20T12:56:24Z;2026-01-23T12:07:29Z;71,18;6;186;10;6;Rename PodGroupInfo in preparation for Workload-aware scheduling changes;What type of PR is this?/kind cleanupWhat this PR does / why we need it:As mentioned in https://github.com/kubernetes/enhancements/pull/5733/changes#r2610449539, we want to have a more focused PodGroupInfo type than the current implementation.In this PR I rename PodGroupInfo to PodGroupState.PodGroupState is used to track live pod state, which is currently used by the GangScheduling plugin.The new PodGroupInfo type will describe a snapshotted state of a podgroup that will be used in the workload scheduling cycle plugins.Which issue(s) this PR is related to:KEP: kubernetes/enhancements#5732KEP: kubernetes/enhancements#4671Special notes for your reviewer:Does this PR introduce a user-facing change?Renamed PodGroupInfo to PodGroupState, which can break custom scheduler plugins that use Handle.WorkloadManagerAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:- [KEP]: https://github.com/kubernetes/enhancements/pull/5733/changes#diff-7ae886ce193e1c72e6a0673ded84f5552891a2b813918acd8cd5e5a3b6748c06R285;FALSE;pkg;pkg, staging;kind/cleanup, sig/scheduling, lgtm, release-note, size/L, approved, cncf-cla: yes, needs-priority, needs-triage;other;Rename PodGroupInfo to PodGroupState  This is in preparation for PodGroupInfo struct with more pod group details
132895;2025-07-11T18:21:06Z;2025-07-29T21:58:26Z;435,62;2;93;16;15;Fixes scheduler nil panic due to empty init container request&limit;"What type of PR is this?/kind bugWhat this PR does / why we need it:This PR fixes a nil panic issue in kube-scheduler which caused leader loss in a cluster:E0701 15:53:40.193220      11 runtime_faststr_swiss.go:265] ""Observed a panic"" panic=""assignment to entry in nil map"" panicGoValue=""\""assignment to entry in nil map\"""" stacktrace=<	goroutine 367 [running]:	k8s.io/apimachinery/pkg/util/runtime.logPanic({0x2e55568, 0xc000d5a2a0}, {0x25b3900, 0x463a5c0})		k8s.io/apimachinery/pkg/util/runtime/runtime.go:132 +0xbc	k8s.io/apimachinery/pkg/util/runtime.handleCrash({0x2e55568, 0xc000d5a270}, {0x25b3900, 0x463a5c0}, {0x0, 0x0, 0xc0009b0880?})		k8s.io/apimachinery/pkg/util/runtime/runtime.go:107 +0x116	k8s.io/apimachinery/pkg/util/runtime.HandleCrashWithLogger({{0x2e5df30?, 0xc00051eac0?}, 0xc0009b08c8?}, {0x0, 0x0, 0x0})		k8s.io/apimachinery/pkg/util/runtime/runtime.go:91 +0x115	panic({0x25b3900?, 0x463a5c0?})		runtime/panic.go:792 +0x132	k8s.io/component-helpers/resource.maxResourceList(0x0, 0x1f400000?)		k8s.io/component-helpers/resource/helpers.go:399 +0x2ba	k8s.io/component-helpers/resource.max(0xc0009b12b8?, {0xc000748c88, 0x2, 0x1f400000?})		k8s.io/component-helpers/resource/helpers.go:409 +0x5e	k8s.io/component-helpers/resource.determineContainerReqs(0xc000d5a210?, 0xc0009b1378?, 0xc000ae9bb0?)		k8s.io/component-helpers/resource/helpers.go:231 +0x175	k8s.io/component-helpers/resource.AggregateContainerRequests(0xc000b7b688, {0x0, 0x1, 0x0, 0x0, 0x0, 0x1})		k8s.io/component-helpers/resource/helpers.go:163 +0x265	k8s.io/component-helpers/resource.PodRequests(0xc000b7b688, {0x0, 0x1, 0x0, 0x0, 0x0, 0x1})		k8s.io/component-helpers/resource/helpers.go:123 +0x76	k8s.io/kubernetes/pkg/scheduler/framework.(*PodInfo).calculateResource(0xc0002fbf10)		k8s.io/kubernetes/pkg/scheduler/framework/types.go:1135 +0xfe	k8s.io/kubernetes/pkg/scheduler/framework.(*NodeInfo).update(0xc000b3b710, 0xc0002fbf10, 0x1)		k8s.io/kubernetes/pkg/scheduler/framework/types.go:1058 +0x3d	k8s.io/kubernetes/pkg/scheduler/framework.(*NodeInfo).AddPodInfo(0xc000b3b710, 0xc0002fbf10)		k8s.io/kubernetes/pkg/scheduler/framework/types.go:989 +0x206	k8s.io/kubernetes/pkg/scheduler/framework.(*NodeInfo).AddPod(0xc000b3b710, 0xc000b7b688)		k8s.io/kubernetes/pkg/scheduler/framework/types.go:997 +0x45	k8s.io/kubernetes/pkg/scheduler/backend/cache.(*cacheImpl).addPod(0xc0008484e0, {{0x2e5df30?, 0xc00051eac0?}, 0x25463c0?}, 0xc000b7b688, 0x0)Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?Fixes a 1.33 regression that can cause a nil panic in kube-scheduler when aggregating resource requests across container's spec and status.";FALSE;staging;staging;kind/bug, priority/important-soon, sig/scheduling, lgtm, sig/node, release-note, size/M, kind/api-change, approved, cncf-cla: yes;bugfix;fixes scheduler nil panic due to empty init container request&limit  Signed-off-by: Min Jin <minkimzz@amazon.com>
136028;2026-01-05T13:22:39Z;2026-01-21T23:39:25Z;394,28;13;44;35;4;fix(kubelet): convert V().Error() to V().Info() for verbosity-aware logging;"What type of PR is this?/kind bugWhat this PR does / why we need it:This PR fixes incorrect usage of logger.V(N).Error() across the kubelet package. The go-logr package design causes Error() calls to bypass verbosity level checks entirely, meaning these logs are always printed regardless of the configured verbosity level.This causes production log flooding and defeats the purpose of using verbosity levels.Which issue(s) this PR fixes:Fixes #136027Special notes for your reviewer:The linter check from kubernetes-sigs/logtools#32 identified 21 instances across the kubelet package. This PR addresses all of them.Files modified (15 files, 21 instances):pkg/kubelet/allocation/allocation_manager.gopkg/kubelet/cm/devicemanager/plugin/v1beta1/client.gopkg/kubelet/cm/dra/plugin/dra_plugin_manager.gopkg/kubelet/images/pullmanager/metrics.gopkg/kubelet/kubelet.gopkg/kubelet/kuberuntime/kuberuntime_container_linux.gopkg/kubelet/lifecycle/handlers.gopkg/kubelet/metrics/collectors/cri_metrics.gopkg/kubelet/pleg/generic.gopkg/kubelet/prober/prober.gopkg/kubelet/prober/prober_manager.gopkg/kubelet/stats/cri_stats_provider.gopkg/kubelet/stats/helper.gopkg/kubelet/volumemanager/cache/desired_state_of_world.gopkg/kubelet/volumemanager/reconciler/reconstruct.goConversion patterns applied:V(N).Error(nil, ""msg"", ...) → V(N).Info(""msg"", ...)V(N).Error(err, ""msg"", ...) → V(N).Info(""msg"", ..., ""err"", err)Does this PR introduce a user-facing change?Fixed kubelet logging to properly respect verbosity levels. Previously, some debug/info messages using V().Error() would always be printed regardless of the configured log verbosity.Additional documentation e.g., KEPs (Alarm Proposal Docs), usage docs, etc.:N/A/sig node/area kubelet";FALSE;pkg;pkg;kind/bug, area/kubelet, lgtm, sig/node, release-note, size/M, approved, cncf-cla: yes, ok-to-test, needs-priority;bugfix;"fix(kubelet): convert V().Error() to V().Info() for verbosity-aware logging  The go-logr package ignores verbosity level (V()) for Error() calls, causing these logs to always print regardless of the -v flag setting. Convert to Info() with ""err"" key-value pair to respect verbosity levels.  This change covers 23 instances across kubelet components: - prober (4 instances) - lifecycle (4 instances) - stats (3 instances) - kuberuntime (2 instances) - pleg (1 instance) - allocation (1 instance) - cm/devicemanager (1 instance) - cm/dra (1 instance) - metrics/collectors (1 instance) - kubelet.go (3 instances) - images/pullmanager (2 instances)  Ref: https://github.com/kubernetes/kubernetes/issues/136027 Signed-off-by: thc1006 <84045975+thc1006@users.noreply.github.com> | fix(kubelet): convert V().Error() to V().Info() in volumemanager  Apply the same verbosity-aware logging fix to volumemanager components: - desired_state_of_world.go (2 instances) - reconciler/reconstruct.go (1 instance)  This completes the kubelet-wide fix for V().Error() ignoring verbosity.  Signed-off-by: thc1006 <84045975+thc1006@users.noreply.github.com>"
136303;2026-01-18T19:30:53Z;2026-01-22T23:47:27Z;100,28;1;32;10;2;scheduler: deflake TestUnReservePreBindPlugins;What type of PR is this?/kind flakeWhat this PR does / why we need it:After #135393, the scheduler may retry after a PreBind rejection, causing PreBind and Unreserve to be invoked more than once.This PR introduces a PreEnqueue gate which blocks the pod from being re-enqueued after a PreBind attempt has been made, ensuring that PreBind and Unreserve are called exactly once per test case.Context: #136261 (comment)Which issue(s) this PR is related to:Ref #136261Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, sig/scheduling, lgtm, size/M, kind/flake, release-note-none, approved, cncf-cla: yes, sig/testing, ok-to-test;test;scheduler: deflake TestUnReservePreBindPlugins
136445;2026-01-23T02:13:55Z;2026-01-23T03:55:26Z;1,69;2;6;6;2;Fix volume/nfs image for CentOS Stream 9;"The volume/nfs:1.5 image was updated from CentOS 8 to CentOS Stream 9 in commit 9b47a09, but this broke NFS server startup because NFSv2 is no longer supported in RHEL 9 / CentOS Stream 9.The -N 2 flag (disable NFSv2) passed to rpc.mountd and rpc.nfsd causes them to fail with ""2: Unsupported version"" since there's no NFSv2 to disable. This prevented rpc.nfsd from starting, causing NFS mount timeouts in e2e tests.Fix by removing the -N 2 flags. NFSv2 is already unavailable in CentOS Stream 9, so explicitly disabling it is unnecessary.Red Hat documentation states: ""NFS version 2 (NFSv2) is no longer supported by Red Hat.""Reference: https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/managing_file_systems/mounting-nfs-shares_managing-file-systemsWhat type of PR is this?/kind cleanupWhat this PR does / why we need it:Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:";TRUE;test;test;area/test, kind/cleanup, lgtm, size/XS, release-note-none, approved, cncf-cla: yes, sig/testing, needs-priority, needs-triage;bugfix;"Fix volume/nfs image for CentOS Stream 9  The volume/nfs:1.5 image was updated from CentOS 8 to CentOS Stream 9 in commit 9b47a096f4b, but this broke NFS server startup because NFSv2 is no longer supported in RHEL 9 / CentOS Stream 9.  The `-N 2` flag (disable NFSv2) passed to rpc.mountd and rpc.nfsd causes them to fail with ""2: Unsupported version"" since there's no NFSv2 to disable. This prevented rpc.nfsd from starting, causing NFS mount timeouts in e2e tests.  Fix by removing the `-N 2` flags. NFSv2 is already unavailable in CentOS Stream 9, so explicitly disabling it is unnecessary.  Red Hat documentation states: ""NFS version 2 (NFSv2) is no longer supported by Red Hat.""  Reference: https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/managing_file_systems/mounting-nfs-shares_managing-file-systems  Signed-off-by: Davanum Srinivas <davanum@gmail.com>"
136122;2026-01-09T03:24:30Z;2026-01-12T21:25:01Z;90,01;2;8;10;1;Automated cherry pick of #135631: Switch ipvs and winkernel back to more regular forced syncs;"Cherry pick of #135631 on release-1.35.#135631: Switch ipvs and winkernel back to more regular forced syncsFor details on the cherry pick process, see the cherry pick requests page.Fixes a 1.34+ regression in ipvs and winkernel kube-proxy backends; these are now reverted back to theirpre-1.34 behavior of regularly rechecking all of their rules even when noServices or EndpointSlices change.";FALSE;pkg;pkg;kind/bug, priority/important-soon, sig/network, area/kube-proxy, lgtm, release-note, size/XS, cherry-pick-approved, approved, sig/windows;other;Switch ipvs and winkernel back to more regular forced syncs
136429;2026-01-22T15:51:21Z;2026-01-22T21:33:35Z;5,70;3;8;5;1;Remove ppc64le and s390x support from npb-is image;The npb-is image was failing to build on ppc64le with relocation overflow:relocation truncated to fit: R_PPC64_TOC16_HA against symbol 'key_array'Remove ppc64le and s390x from supported architectures:The IS benchmark with CLASS=D has ~8GB data arrays that require special compiler flags for non-x86 architecturesppc64le and s390x builds are difficult to test and maintainKeep amd64 and arm64 which are the primary node performance test targetsI don't think these arch(es) ever worked!What type of PR is this?/kind cleanupWhat this PR does / why we need it:Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, kind/cleanup, lgtm, sig/node, size/XS, release-note-none, approved, cncf-cla: yes, sig/testing, needs-priority;feature;Remove ppc64le and s390x support from npb-is image  The npb-is image was failing to build on ppc64le with relocation overflow:   relocation truncated to fit: R_PPC64_TOC16_HA against symbol 'key_array'  Remove ppc64le and s390x from supported architectures: - The IS benchmark with CLASS=D has ~8GB data arrays that require special   compiler flags for non-x86 architectures - ppc64le and s390x builds are difficult to test and maintain - Keep amd64 and arm64 which are the primary node performance test targets  I don't think these arch(es) ever worked!  Signed-off-by: Davanum Srinivas <davanum@gmail.com>
135940;2025-12-26T10:12:22Z;2026-01-22T21:33:28Z;659,35;2;290;13;30;webhook admission: avoid risk of flakes;What type of PR is this?/kind bug/kind failing-test/kind flakeWhat this PR does / why we need it:The unit test flaked at least once so far in the CI. Cannot be reproduced locally, though.=== RUN   TestGetMutatingWebhookConfigSmartReload/create_configuration_and_update_moar_of_them    mutating_webhook_manager_test.go:238: Expected number of webhooks 4 received 0    mutating_webhook_manager_test.go:245: Expected number of creations 4 received 0    mutating_webhook_manager_test.go:266: Expected final number of webhooks 5 received 3--- FAIL: TestGetMutatingWebhookConfigSmartReload/create_configuration_and_update_moar_of_them (2.00s)There were two potential root causes:The watch must be set up completely before creating objects (a fake client-go limitation, #135959 tries to address it).The delay might be too small on a loaded system.By running the tests in a synctest bubble with synctest.Wait calls at the right places both problems are avoided. As a welcome side effect the test also completes faster.Before:ok  	k8s.io/apiserver/pkg/admission/configuration	21.036sAfter:ok  	k8s.io/apiserver/pkg/admission/configuration	12.534s2m0s: 2274 runs so far, 0 failures, 256 activeWhich issue(s) this PR is related to:N/ASpecial notes for your reviewer:Flake is from https://prow.k8s.io/view/gs/kubernetes-ci-logs/pr-logs/pull/135395/pull-kubernetes-unit/2003404146677387264Does this PR introduce a user-facing change?NONE/cc @liggitt @jpbetz;FALSE;staging;staging;kind/bug, area/apiserver, lgtm, sig/api-machinery, size/L, kind/flake, release-note-none, approved, cncf-cla: yes, kind/failing-test;other;webhook admission: avoid risk of flakes  The unit test flaked at least once so far in the CI. Cannot be reproduced locally, though.      === RUN   TestGetMutatingWebhookConfigSmartReload/create_configuration_and_update_moar_of_them         mutating_webhook_manager_test.go:238: Expected number of webhooks 4 received 0         mutating_webhook_manager_test.go:245: Expected number of creations 4 received 0         mutating_webhook_manager_test.go:266: Expected final number of webhooks 5 received 3     --- FAIL: TestGetMutatingWebhookConfigSmartReload/create_configuration_and_update_moar_of_them (2.00s)  There were two potential root causes: - The watch must be set up completely before creating objects (a fake   client-go limitation, fix separately). - The delay might be too small on a loaded system.  By running the tests in a synctest bubble with synctest.Wait calls at the right places both problems are avoided. As a welcome side effect the test also completes faster.  Before:      ok  	k8s.io/apiserver/pkg/admission/configuration	21.036s  After:      ok  	k8s.io/apiserver/pkg/admission/configuration	4.029s      2m0s: 13801 runs so far, 0 failures
136258;2026-01-15T19:30:50Z;2026-01-22T01:49:27Z;150,31;3;6;8;1;update core binaries to go 1.25.6 for CVE fixes;What type of PR is this?/kind featureWhat this PR does / why we need it:Upgrades go to 1.25.6 to address vulns:https://groups.google.com/d/msgid/golang-announce/5ee6bc63.BAAACBhEM_oAAAAAAAAAA-p9MGAAAYKKSQYAAAAAADE8OwBpaTkp%40mailjet.com?utm_medium=email&utm_source=footerWhich issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?Kubernetes is now built with Go 1.25.6Additional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:/sig releasemanual cherry-pick of #136257;FALSE;root;build, root, staging;lgtm, release-note, size/XS, kind/feature, area/release-eng, cherry-pick-approved, approved, cncf-cla: yes, sig/release, needs-priority;bugfix;bump go to 1.25.6 for CVE fixes
136123;2026-01-09T03:24:57Z;2026-01-10T01:43:39Z;22,31;2;8;5;1;Automated cherry pick of #135631: Switch ipvs and winkernel back to more regular forced syncs;"Cherry pick of #135631 on release-1.34.#135631: Switch ipvs and winkernel back to more regular forced syncsFor details on the cherry pick process, see the cherry pick requests page.Fixes a 1.34+ regression in ipvs and winkernel kube-proxy backends; these are now reverted back to theirpre-1.34 behavior of regularly rechecking all of their rules even when noServices or EndpointSlices change.";FALSE;pkg;pkg;kind/bug, priority/important-soon, sig/network, area/kube-proxy, lgtm, release-note, size/XS, cherry-pick-approved, approved, sig/windows;other;Switch ipvs and winkernel back to more regular forced syncs
135631;2025-12-05T17:02:20Z;2026-01-08T20:41:47Z;819,66;2;8;7;2;Switch ipvs and winkernel back to more regular forced syncs;"What this PR does / why we need it:In the BoundedFrequencyRunner rewrite (#131615) we changed the ""resync even if nothing changed"" period for ipvs and winkernel from 30s (configurable) to 1h (hardcoded). (It was already 1h for iptables and nftables.) This just flips it back.In most cases the extra resyncs are unnecessary and wasteful, but maybe some people have use cases where they need them, so let's not change the behavior right before deprecating IPVS.(@princepereira The same change happened for winkernel and I'm reverting that back to the 1.33 behavior now too.)Which issue(s) this PR is related to:Fixes #134147Does this PR introduce a user-facing change?Fixes a 1.34+ regression in ipvs and winkernel kube-proxy backends; these are now reverted back to theirpre-1.34 behavior of regularly rechecking all of their rules even when noServices or EndpointSlices change./kind bug/kind regression/sig network/sig windows/area kube-proxy/area ipvs/priority important-soon";FALSE;pkg;pkg;kind/bug, priority/important-soon, sig/network, area/kube-proxy, lgtm, release-note, size/XS, approved, sig/windows, cncf-cla: yes;other;Switch ipvs and winkernel back to more regular forced syncs
136407;2026-01-21T19:46:30Z;2026-01-22T20:39:35Z;24,88;26;316;10;0;Bump etcd client SDK to 3.6.7;What type of PR is this?/kind cleanupWhat this PR does / why we need it:Bumps the etcd client SDK to 3.6.7Which issue(s) this PR is related to:etcd-io/etcd#21015Special notes for your reviewer:Does this PR introduce a user-facing change?Updates the etcd client library to v3.6.7Additional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;root;root, staging, vendor;kind/cleanup, sig/scheduling, area/apiserver, lgtm, area/cloudprovider, sig/node, sig/api-machinery, release-note, size/M, sig/auth;ci;Bump etcd 3.6.7 SDK
136398;2026-01-21T15:19:02Z;2026-01-22T20:39:28Z;29,34;9;109;8;1;Switch node perf tests from TensorFlow to PyTorch Wide-Deep;/kind featureReplace the TensorFlow-based wide-deep workload with the PyTorch implementation. This change:Adds pytorchWideDeepWorkload using the new pytorch-wide-deep imageRemoves tfWideDeepWorkload and tf-wide-deep image referencesEnables arm64 support (PyTorch image is multi-arch)Uses the same log parsing (time -p output format)xref: #136397 (for image)What type of PR is this?/kind featureWhat this PR does / why we need it:Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?Using pytorch based e2e integration test instead of tensorflow in some node e2e CI tests.Additional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, lgtm, sig/node, release-note, size/L, kind/feature, approved, cncf-cla: yes, sig/testing, needs-priority;test;Switch node perf tests from TensorFlow to PyTorch Wide-Deep  Replace the TensorFlow-based wide-deep workload with the PyTorch implementation. This change:  - Adds pytorchWideDeepWorkload using the new pytorch-wide-deep image (1.0.0) - Removes tfWideDeepWorkload and tf-wide-deep image references - Enables arm64 support (PyTorch image is multi-arch) - Uses the same log parsing (time -p output format)  Signed-off-by: Davanum Srinivas <davanum@gmail.com>
128653;2024-11-07T10:08:19Z;2025-07-04T14:21:25Z;5740,22;28;57459;41;28;Remove gogo from proto bindings (part 1: CRI);What type of PR is this?/kind cleanupWhat this PR does / why we need it:gogo protobuf is deprecated since years and we should find alternatives or work without it.Which issue(s) this PR fixes:Part of #96564Special notes for your reviewer:NoneDoes this PR introduce a user-facing change?Removed deprecated gogo protocol definitions from `k8s.io/cri-api` in favor of `google.golang.org/protobuf`.Additional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:None;FALSE;hack;hack, pkg, staging, test;area/test, priority/important-soon, area/kubelet, kind/cleanup, area/apiserver, lgtm, sig/node, sig/api-machinery, release-note, size/XXL;other;Remove gogo-protobuf from CRI  Signed-off-by: Sascha Grunert <sgrunert@redhat.com>
135381;2025-11-21T03:45:53Z;2026-01-16T13:59:17Z;1354,22;1;192;5;2;[KEP-5440]: Add integration test for MutablePodResourcesForSuspendedJobs with Pod Replacement Policy = Failed;This test verifies that when a job with PodReplacementPolicy=Failed is suspended and pods are terminating, resource updates can be made to the job but new pods are only created after terminating pods are removed. The new pods should have the updated resources.What type of PR is this?What this PR does / why we need it:This test verifies that when a job with PodReplacementPolicy=Failed is suspended and pods are terminating, resource updates can be made to the job but new pods are only created after terminating pods are removed. The new pods should have the updated resources.https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/5440-mutable-job-pod-resource-updates/README.md#integration-testsWhich issue(s) this PR is related to:https://github.com/kubernetes/enhancements/blob/master/keps/sig-apps/5440-mutable-job-pod-resource-updates/README.md#integration-testsSpecial notes for your reviewer:Assisted with Claude Code.Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, priority/important-soon, lgtm, size/L, kind/feature, release-note-none, sig/apps, approved, cncf-cla: yes, sig/testing;bugfix;Add integration test for MutablePodResourcesForSuspendedJobs with PodReplacementPolicy=Failed  This test verifies that when a job with PodReplacementPolicy=Failed is suspended and pods are terminating, resource updates can be made to the job but new pods are only created after terminating pods are removed. The new pods should have the updated resources.
